variable_id,label,unit,year,value_raw,value,is_projection,portfolio_relevant,source,prose_check,note
idp_us_bi,IDP (US$ Bi),,2021,"46,4",46.4,False,False,Projeções XP (tabela),,
idp_us_bi,IDP (US$ Bi),,2022,"74,6",74.6,False,False,Projeções XP (tabela),,
idp_us_bi,IDP (US$ Bi),,2023,"62,4",62.4,False,False,Projeções XP (tabela),,
idp_us_bi,IDP (US$ Bi),,2024,"71,1",71.1,True,False,Projeções XP (tabela),,
idp_us_bi,IDP (US$ Bi),,2025,"60,0",60.0,True,False,Projeções XP (tabela),,
idp_us_bi,IDP (US$ Bi),,2026,"57,0",57.0,True,False,Projeções XP (tabela),,
idp_pib,IDP (% PIB),,2018,"4,1",4.1,False,False,Projeções XP (tabela),,
idp_pib,IDP (% PIB),,2019,"3,7",3.7,False,False,Projeções XP (tabela),,
idp_pib,IDP (% PIB),,2020,"2,6",2.6,False,False,Projeções XP (tabela),,
idp_pib,IDP (% PIB),,2021,"2,8",2.8,False,False,Projeções XP (tabela),,
idp_pib,IDP (% PIB),,2022,"3,8",3.8,False,False,Projeções XP (tabela),,
idp_pib,IDP (% PIB),,2023,"2,9",2.9,False,False,Projeções XP (tabela),,
idp_pib,IDP (% PIB),,2024,"3,2",3.2,True,False,Projeções XP (tabela),,
idp_pib,IDP (% PIB),,2025,"2,9",2.9,True,False,Projeções XP (tabela),,
idp_pib,IDP (% PIB),,2026,"2,6",2.6,True,False,Projeções XP (tabela),,
pib_nominal_us_bi,PIB Nominal (US$ Bi),,2018,"1,916",1.916,False,False,Projeções XP (tabela),,
pib_nominal_us_bi,PIB Nominal (US$ Bi),,2019,1.873,1873.0,False,False,Projeções XP (tabela),,
pib_nominal_us_bi,PIB Nominal (US$ Bi),,2020,1.475,1475.0,False,False,Projeções XP (tabela),,
pib_nominal_us_bi,PIB Nominal (US$ Bi),,2021,1.670,1670.0,False,False,Projeções XP (tabela),,
pib_nominal_us_bi,PIB Nominal (US$ Bi),,2022,1.951,1951.0,False,False,Projeções XP (tabela),,
pib_nominal_us_bi,PIB Nominal (US$ Bi),,2023,2.190,2190.0,False,False,Projeções XP (tabela),,
pib_nominal_us_bi,PIB Nominal (US$ Bi),,2024,2.198,2198.0,True,False,Projeções XP (tabela),,
pib_nominal_us_bi,PIB Nominal (US$ Bi),,2025,2.055,2055.0,True,False,Projeções XP (tabela),,
pib_nominal_us_bi,PIB Nominal (US$ Bi),,2026,2.156,2156.0,True,False,Projeções XP (tabela),,
pib_nominal_r_bi,PIB Nominal (R$ Bi),,2018,"7,004",7.004,False,False,Projeções XP (tabela),,
pib_nominal_r_bi,PIB Nominal (R$ Bi),,2019,7.389,7389.0,False,False,Projeções XP (tabela),,
pib_nominal_r_bi,PIB Nominal (R$ Bi),,2020,7.610,7610.0,False,False,Projeções XP (tabela),,
pib_nominal_r_bi,PIB Nominal (R$ Bi),,2021,9.012,9012.0,False,False,Projeções XP (tabela),,
pib_nominal_r_bi,PIB Nominal (R$ Bi),,2022,10.080,10080.0,False,False,Projeções XP (tabela),,
pib_nominal_r_bi,PIB Nominal (R$ Bi),,2023,10.943,10943.0,False,False,Projeções XP (tabela),,
pib_nominal_r_bi,PIB Nominal (R$ Bi),,2024,11.793,11793.0,True,False,Projeções XP (tabela),,
pib_nominal_r_bi,PIB Nominal (R$ Bi),,2025,12.720,12720.0,True,False,Projeções XP (tabela),,
pib_nominal_r_bi,PIB Nominal (R$ Bi),,2026,13.456,13456.0,True,False,Projeções XP (tabela),,
